Online Episode,RMSE Regular,MAE,Mean_RMSE_Regular,IAE,IIAE,ISE,IISE,MAE,Online Episode,RMSE Near,MAE,Mean_RMSE_Near,IAE,IIAE,ISE,IISE,Online Episode,RMSE Zero,MAE,Mean_RMSE_Zero,IAE,IIAE,ISE,IISE
1,0.0033968650087242472,0.017587216815542928,0.0045298631827693815,0.9152843165934325,18.887341219665018,0.023666884604220916,0.5268375596923269,0.6158382201923317,1,0.384818498053733,0.6158382201923317,0.09558218275682298,23.230054248112456,323.00888536854546,69.26777264466085,596.5111603973114,1,0.38481850040674803,0.6158382201923317,0.06912774920528697,8.091134139789865,139.01809418816745,2.4000708605151835,34.30538898479517
2,0.005414409435712217,0.03306686021708616,,,,,,0.449242356710801,2,0.27455339685112534,0.4501727224021865,,,,,,2,0.27398427633726985,0.449242356710801,,,,,
3,0.00452823817831557,0.027369951383230895,,,,,,0.32771371602476196,3,0.20070455947579607,0.32907244925518914,,,,,,3,0.19987333667532367,0.32771371602476196,,,,,
4,0.004660289093050008,0.024163783891995805,,,,,,0.23906081938753676,4,0.14665567817417619,0.24054906962230416,,,,,,4,0.14574603111806636,0.23906081938753676,,,,,
5,0.0037600947347039924,0.022772151838351684,,,,,,0.3693840922152858,5,0.23616713584243923,1.6088777084024235,,,,,,5,0.1563090492386096,0.3693840922152858,,,,,
6,0.0037353026538570373,0.01864378348842405,,,,,,0.31942321848017874,6,0.5926914146195961,7.010748931966473,,,,,,6,0.14176314582525082,0.31942321848017874,,,,,
7,0.004337037491051656,0.02447008000922346,,,,,,0.13040494042715978,7,0.08031670845100065,0.1317181860583132,,,,,,7,0.07951386908827049,0.13040494042715978,,,,,
8,0.0036779720065394594,0.01986958936505162,,,,,,0.26023762823619867,8,0.09602914427390147,0.6018379041097702,,,,,,8,0.0801543233830926,0.26023762823619867,,,,,
9,0.004191869889597132,0.020310622324460403,,,,,,0.08226100992797136,9,0.05123460267778197,0.08333434405775719,,,,,,9,0.050574210682164146,0.08226100992797136,,,,,
10,0.004159264927416878,0.024130547065100316,,,,,,0.4257118066001092,10,0.08997099525818035,0.2958624149327536,,,,,,10,0.1285697015727505,0.4257118066001092,,,,,
11,0.003714464942990261,0.018574650897135725,,,,,,0.3064169257723337,11,0.062312683272555326,0.21627214784452203,,,,,,11,0.07923149674789733,0.3064169257723337,,,,,
12,0.003949996285017378,0.02645947681385452,,,,,,0.27042486560898826,12,0.4078924114165512,3.109147616651061,,,,,,12,0.08952475852540227,0.27042486560898826,,,,,
13,0.004197820121767582,0.025540084630732263,,,,,,0.19727034620910533,13,0.15426576044416554,1.427317296087424,,,,,,13,0.06174628438870755,0.19727034620910533,,,,,
14,0.0038131302484670465,0.02021433730183153,,,,,,0.13755549375490966,14,0.027511196887218172,0.1000184516709795,,,,,,14,0.03399262167316596,0.13755549375490966,,,,,
15,0.003704135812862526,0.017453865368825094,,,,,,0.10036263995115124,15,0.02011905732720877,0.07311313788711205,,,,,,15,0.02480894035990388,0.10036263995115124,,,,,
16,0.004831348711967888,0.0223332974462076,,,,,,0.10229080234386878,16,0.07354356478156958,0.6759129383052004,,,,,,16,0.02842021097631087,0.10229080234386878,,,,,
17,0.005247054866693182,0.020769789533961025,,,,,,0.060957697349786844,17,0.01197930525102304,0.04625828353701267,,,,,,17,0.01447530131326895,0.060957697349786844,,,,,
18,0.005552889954748476,0.028537541078017648,,,,,,0.08364270248995209,18,0.053923983806169445,0.4747736255441678,,,,,,18,0.02058214732382642,0.08364270248995209,,,,,
19,0.005091549082911771,0.01883907810737362,,,,,,0.01763553164649906,19,0.004530776696067422,0.011880609451626556,,,,,,19,0.004764128494673823,0.01763553164649906,,,,,
20,0.004831638568597527,0.019581307991228307,,,,,,0.2601569955117802,20,0.056812242708187854,0.2182357926741102,,,,,,20,0.0668810590665961,0.2601569955117802,,,,,
21,0.004795925534242337,0.026132986349721166,,,,,,0.18978009916926564,21,0.03982247043255102,0.15952903130848295,,,,,,21,0.04552020044767952,0.18978009916926564,,,,,
22,0.00581688674256282,0.0212455752258639,,,,,,0.00639779842040239,22,0.0020572416179609715,0.004001534345763058,,,,,,22,0.002090478700730525,0.00639779842040239,,,,,
23,0.005725053482927029,0.019655852980395516,,,,,,0.15194226319425858,23,0.016427157907098804,0.12900589630546683,,,,,,23,0.018785310056409165,0.15194226319425858,,,,,
24,0.006320368717112384,0.02581333828029575,,,,,,0.26895908806833496,24,0.0688028725911478,0.5379952319048166,,,,,,24,0.07692920961649558,0.26895908806833496,,,,,
25,0.005112165269428773,0.019000361162212154,,,,,,0.0066062220677897965,25,0.0011579399849853923,0.004689799287179647,,,,,,25,0.0011880553062781627,0.0066062220677897965,,,,,
26,0.005165184315275442,0.018203950307273058,,,,,,0.34723238398660417,26,0.07264262653551867,0.3388170344158425,,,,,,26,0.07365249233836839,0.34723238398660417,,,,,
27,0.00559427298078912,0.0391646410029513,,,,,,0.008309214156176787,27,0.0008285744562256934,0.005765160921920372,,,,,,27,0.0009529037749113755,0.008309214156176787,,,,,
28,0.004137029874724635,0.021206126941396335,,,,,,0.36175895499610744,28,0.08742958421946616,0.3571871713195087,,,,,,28,0.08778411021350718,0.36175895499610744,,,,,
29,0.0050236236347004784,0.025087979464410493,,,,,,0.31334231619997893,29,0.08143316440320789,0.5823857877415466,,,,,,29,0.08155450866257805,0.31334231619997893,,,,,
30,0.0035500274985765996,0.023262854617074096,,,,,,0.16216361036210297,30,0.026149809759980706,0.16270853858979117,,,,,,30,0.026016922706033084,0.16216361036210297,,,,,
31,0.0035988251085962287,0.03017957231155226,,,,,,0.11837635440537608,31,0.01914594021373353,0.11903368197850778,,,,,,31,0.01901347588852423,0.11837635440537608,,,,,
32,0.0033275648792082937,0.018448826238610577,,,,,,0.20636171875892073,32,0.10963210780875271,0.9935359386320166,,,,,,32,0.058983960688957116,0.20636171875892073,,,,,
33,0.0034272377768622864,0.018427656894720174,,,,,,0.14640547441072704,33,0.02863847578473579,0.14037084877462458,,,,,,33,0.028836137863682543,0.14640547441072704,,,,,
34,0.0035168629426444204,0.01756221813536059,,,,,,0.016143809571282718,34,0.0007835471197587553,0.010252163495359156,,,,,,34,0.0013111981822507349,0.016143809571282718,,,,,
35,0.0039041155604589727,0.013533261614856337,,,,,,0.11421473059390497,35,0.011927589986192562,0.11365130419961558,,,,,,35,0.012065159533219363,0.11421473059390497,,,,,
36,0.0035956292164238367,0.014917719823794855,,,,,,0.3081270377500732,36,0.041023001653264175,0.223407252011523,,,,,,36,0.055172755911327226,0.3081270377500732,,,,,
37,0.003908078816838495,0.014648542613848382,,,,,,0.18082240895437557,37,0.027436895369482905,0.1633146338106794,,,,,,37,0.02811589659411337,0.18082240895437557,,,,,
38,0.0037568028172942428,0.013375422647921147,,,,,,0.28717532382657973,38,0.14321413096761645,1.3220402235925126,,,,,,38,0.06221318227611579,0.28717532382657973,,,,,
39,0.0043238541194487775,0.021608569584648504,,,,,,0.08149840905030609,39,0.010760136679360927,0.08164925117307503,,,,,,39,0.010973698079206779,0.08149840905030609,,,,,
40,0.009799646007668259,0.0631208448288914,,,,,,0.059525113006589636,40,0.00794092651343194,0.05977191365149909,,,,,,40,0.008216918173791499,0.059525113006589636,,,,,
